rung,condition,macro_f1,benign,ddos,beacon,dga,encrypted,scan,exfil
FULL_ENRICHED,A_FULL,0.9262822578962154,0.9892566782810686,1.0,0.9897109260166586,0.6015037593984962,0.9834254143646409,0.9932497589199615,0.926829268292683
DIODE_FULL,B_DEPLOYED,0.9704997717225448,0.9949574989194641,0.9887640449438202,0.9867321867321868,0.9195402298850575,0.9834254143646409,0.9932497589199615,0.926829268292683
DIODE_FULL,C_RETRAINED,0.97108605913577,0.9949516803692485,1.0,0.9872549019607844,0.9090909090909091,0.9862258953168044,0.9932497589199615,0.926829268292683
DIODE_FULL,D_NATIVE,0.9387751942328592,0.9916015059368665,1.0,0.9906908378245958,0.6782608695652174,0.9917808219178083,0.9922630560928434,0.926829268292683
DIODE_ONEWAY,B_DEPLOYED,0.7107914480322328,0.8875739644970414,1.0,0.7270578968097676,0.312,0.16748768472906403,0.9545913218970736,0.926829268292683
DIODE_ONEWAY,C_RETRAINED,0.9378691245407964,0.9768384481760278,1.0,0.9360845495722194,0.7079646017699115,0.9781420765027322,0.989310009718173,0.9767441860465116
DIODE_ONEWAY,D_NATIVE,0.9266380621292634,0.9748118123914302,1.0,0.9332659251769464,0.6557377049180327,0.978021978021978,0.9922480620155039,0.9523809523809523
DIODE_ONEWAY_SAMPLED,B_DEPLOYED,0.7165637483513432,0.9074778200253485,0.8247422680412371,0.6790123456790124,0.5454545454545454,0.13333333333333333,0.9259259259259259,1.0
DIODE_ONEWAY_SAMPLED,C_RETRAINED,0.9390513249058384,0.9865030674846625,1.0,0.9848484848484849,0.8648648648648649,0.88,1.0,0.8571428571428571
DIODE_ONEWAY_SAMPLED,D_NATIVE,0.9574733010176049,0.9852579852579852,1.0,0.9848484848484849,0.8648648648648649,0.88,0.9873417721518988,1.0
