condition,n_features,macro_f1,binary_f1
A_FULL,103,0.399924556410254,0.9792894364954483
C_MATCHED,35,0.3110270544409415,0.6902859878956935
E_SENSOR,51,0.4659888275303807,0.9810129191051662
F_FULL_PLUS_HW,119,0.5593074104142393,0.9810991253285417
G_HW_ONLY,16,0.599497381220827,0.9812045795869379
