shards,wall_s,packets_per_s,speedup,efficiency,cells,meets_line_rate
1,14.204350599989993,35992.141731587515,1.0,1.0,408845,False
2,9.449499099995592,54102.867738273926,1.503185560385589,0.7515927801927945,408845,False
4,6.571669500001008,77795.29996143622,2.1614523676194937,0.5403630919048734,408846,False
6,5.2800214999879245,96826.3102718747,2.6902069622296954,0.44836782703828254,408846,False
8,5.359252599999309,95394.83173457171,2.6504349878921225,0.3313043734865153,408847,False
12,4.692983400003868,108938.16500599141,3.0267208275184365,0.25222673562653636,408848,False
